"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2022","74.69","77.73","77.73","74.69","","-3.91%"
"06/01/2022","77.73","78.68","78.68","77.73","","-1.21%"
"05/01/2022","78.68","83.11","83.11","78.68","","-5.33%"
"04/01/2022","83.11","84.08","84.08","83.11","","-1.15%"
"03/01/2022","84.08","77.62","84.08","77.62","","9.05%"
"31/12/2021","77.10","77.62","77.62","77.10","","-0.67%"
"30/12/2021","77.62","78.00","78.00","77.62","","-0.49%"
"29/12/2021","78.00","77.52","78.00","77.52","","0.62%"
"28/12/2021","77.52","80.12","80.12","77.52","","-3.25%"
"27/12/2021","80.12","77.29","80.12","77.29","","3.66%"
"23/12/2021","77.29","76.85","77.29","76.85","","0.57%"
"22/12/2021","76.85","79.52","79.52","76.85","","-3.36%"
"21/12/2021","79.52","77.02","79.52","77.02","","3.25%"
"20/12/2021","77.02","69.10","77.02","69.10","","6.29%"
"17/12/2021","72.46","69.10","72.46","69.10","","4.86%"
"16/12/2021","69.10","74.06","74.06","69.10","","-6.70%"
"15/12/2021","74.06","78.98","78.98","74.06","","-6.23%"
"14/12/2021","78.98","76.41","78.98","76.41","","3.36%"
"13/12/2021","76.41","79.54","79.54","76.41","","2.76%"
"10/12/2021","74.36","79.54","79.54","74.36","","-6.51%"
"09/12/2021","79.54","80.29","80.29","79.54","","-0.93%"
"08/12/2021","80.29","88.14","88.14","80.29","","-8.91%"
"07/12/2021","88.14","87.89","88.14","87.89","","0.28%"
"06/12/2021","87.89","82.55","87.89","82.55","","11.06%"
"03/12/2021","79.14","82.55","82.55","79.14","","-4.13%"
"02/12/2021","82.55","82.97","82.97","82.55","","-0.51%"
"01/12/2021","82.97","84.04","84.04","82.97","","-1.27%"
"30/11/2021","84.04","89.41","89.41","84.04","","-6.01%"
"29/11/2021","89.41","83.15","89.41","83.15","","-0.04%"
"26/11/2021","89.45","83.15","89.45","83.15","","7.58%"
"24/11/2021","83.15","80.57","83.15","80.57","","3.20%"
"23/11/2021","80.57","79.21","80.57","79.21","","1.72%"
"22/11/2021","79.21","74.51","79.21","74.51","","7.93%"
"19/11/2021","73.39","74.51","74.51","73.39","","-1.50%"
"18/11/2021","74.51","81.58","81.58","74.51","","-8.67%"
"17/11/2021","81.58","81.58","81.58","81.58","","0.00%"
"16/11/2021","81.58","81.59","81.59","81.58","","-0.01%"
"15/11/2021","81.59","78.31","81.59","78.31","","3.79%"
"12/11/2021","78.61","78.31","78.61","78.31","","0.38%"
"10/11/2021","78.31","73.02","78.31","73.02","","7.24%"
"09/11/2021","73.02","70.97","73.02","70.97","","2.89%"
"08/11/2021","70.97","64.61","70.97","64.61","","6.08%"
"05/11/2021","66.90","64.61","66.90","64.61","","3.54%"
"04/11/2021","64.61","71.22","71.22","64.61","","-9.28%"
"03/11/2021","71.22","71.04","71.22","71.04","","0.25%"
"02/11/2021","71.04","78.34","78.34","71.04","","-9.32%"
"01/11/2021","78.34","71.96","78.34","71.96","","3.83%"
"29/10/2021","75.45","71.96","75.45","71.96","","4.85%"
"28/10/2021","71.96","70.06","71.96","70.06","","2.71%"
"27/10/2021","70.06","66.70","70.06","66.70","","5.04%"
"26/10/2021","66.70","68.96","68.96","66.70","","-3.28%"
"25/10/2021","68.96","69.42","69.42","68.96","","-4.28%"
"22/10/2021","72.04","69.42","72.04","69.42","","3.77%"
"21/10/2021","69.42","65.47","69.42","65.47","","6.03%"
"20/10/2021","65.47","68.25","68.25","65.47","","-4.07%"
"19/10/2021","68.25","70.77","70.77","68.25","","-3.56%"
"18/10/2021","70.77","59.35","70.77","59.35","","12.87%"
"15/10/2021","62.70","59.35","62.70","59.35","","5.64%"
"14/10/2021","59.35","60.84","60.84","59.35","","-2.45%"
"13/10/2021","60.84","62.95","62.95","60.84","","-3.35%"
"12/10/2021","62.95","59.65","62.95","59.65","","5.53%"
"08/10/2021","59.65","60.91","60.91","59.65","","-2.07%"
"07/10/2021","60.91","60.65","60.91","60.65","","0.43%"
"06/10/2021","60.65","62.83","62.83","60.65","","-3.47%"
"05/10/2021","62.83","60.61","62.83","60.61","","3.66%"
"04/10/2021","60.61","61.07","61.07","60.61","","5.63%"
"01/10/2021","57.38","61.07","61.07","57.38","","-6.04%"
"30/09/2021","61.07","61.21","61.21","61.07","","-0.23%"
"29/09/2021","61.21","62.71","62.71","61.21","","-2.39%"
"28/09/2021","62.71","60.50","62.71","60.50","","3.65%"
"27/09/2021","60.50","56.79","60.50","56.79","","3.49%"
"24/09/2021","58.46","56.79","58.46","56.79","","2.94%"
"23/09/2021","56.79","55.92","56.79","55.92","","1.56%"
"22/09/2021","55.92","59.20","59.20","55.92","","-5.54%"
"21/09/2021","59.20","59.58","59.58","59.20","","-0.64%"
"20/09/2021","59.58","56.06","59.58","56.06","","6.28%"
"17/09/2021","56.06","53.70","56.06","53.70","","4.39%"
"16/09/2021","53.70","53.93","53.93","53.70","","-0.43%"
"15/09/2021","53.93","51.73","53.93","51.73","","4.25%"
"14/09/2021","51.73","53.10","53.10","51.73","","-2.58%"
"13/09/2021","53.10","52.61","53.10","52.61","","2.65%"
"10/09/2021","51.73","52.61","52.61","51.73","","-1.67%"
"09/09/2021","52.61","57.02","57.02","52.61","","-7.73%"
"08/09/2021","57.02","57.05","57.05","57.02","","-0.05%"
"07/09/2021","57.05","53.26","57.05","53.26","","7.12%"
"03/09/2021","53.26","55.80","55.80","53.26","","-4.55%"
"02/09/2021","55.80","58.09","58.09","55.80","","-3.94%"
"01/09/2021","58.09","59.54","59.54","58.09","","-2.44%"
"31/08/2021","59.54","60.14","60.14","59.54","","-1.00%"
"30/08/2021","60.14","63.41","63.41","60.14","","3.73%"
"27/08/2021","57.98","63.41","63.41","57.98","","-8.56%"
"26/08/2021","63.41","64.51","64.51","63.41","","-1.71%"
"25/08/2021","64.51","63.03","64.51","63.03","","2.35%"
"24/08/2021","63.03","62.23","63.03","62.23","","1.29%"
"23/08/2021","62.23","59.38","62.23","59.38","","3.80%"
"20/08/2021","59.95","59.38","59.95","59.38","","0.96%"
"19/08/2021","59.38","58.05","59.38","58.05","","2.29%"
"18/08/2021","58.05","60.28","60.28","58.05","","-3.70%"
"17/08/2021","60.28","59.40","60.28","59.40","","1.48%"
"16/08/2021","59.40","55.45","59.40","55.45","","7.12%"
"13/08/2021","55.45","57.39","57.39","55.45","","-3.38%"
"12/08/2021","57.39","60.66","60.66","57.39","","-5.39%"
"11/08/2021","60.66","66.55","66.55","60.66","","-8.85%"
"10/08/2021","66.55","65.72","66.55","65.72","","1.26%"
"09/08/2021","65.72","63.57","65.72","63.57","","4.92%"
"06/08/2021","62.64","63.57","63.57","62.64","","-1.46%"
"05/08/2021","63.57","62.67","63.57","62.67","","1.44%"
"04/08/2021","62.67","65.42","65.42","62.67","","-4.20%"
"03/08/2021","65.42","64.29","65.42","64.29","","1.76%"
"02/08/2021","64.29","62.08","64.29","62.08","","5.07%"
"30/07/2021","61.19","62.08","62.08","61.19","","-1.43%"
"29/07/2021","62.08","62.40","62.40","62.08","","-0.51%"
"28/07/2021","62.40","70.07","70.07","62.40","","-10.95%"
"27/07/2021","70.07","69.03","70.07","69.03","","1.51%"
"26/07/2021","69.03","64.96","69.03","64.96","","5.74%"
"23/07/2021","65.28","64.96","65.28","64.96","","0.49%"
"22/07/2021","64.96","65.28","65.28","64.96","","-0.49%"
"21/07/2021","65.28","69.31","69.31","65.28","","-5.81%"
"20/07/2021","69.31","67.58","69.31","67.58","","2.56%"
"19/07/2021","67.58","56.98","67.58","56.98","","16.04%"
"16/07/2021","58.24","56.98","58.24","56.98","","2.21%"
"15/07/2021","56.98","57.31","57.31","56.98","","-0.58%"
"14/07/2021","57.31","60.80","60.80","57.31","","-5.74%"
"13/07/2021","60.80","60.78","60.80","60.78","","0.03%"
"12/07/2021","60.78","61.68","61.68","60.78","","1.44%"
"09/07/2021","59.92","61.68","61.68","59.92","","-2.85%"
"08/07/2021","61.68","60.65","61.68","60.65","","1.70%"
"07/07/2021","60.65","56.55","60.65","56.55","","7.25%"
"06/07/2021","56.55","52.41","56.55","52.41","","7.90%"
"02/07/2021","52.41","57.52","57.52","52.41","","-8.88%"
"01/07/2021","57.52","57.27","57.52","57.27","","0.44%"
"30/06/2021","57.27","56.80","57.27","56.80","","0.83%"
"29/06/2021","56.80","56.33","56.80","56.33","","0.83%"
"28/06/2021","56.33","54.83","56.33","54.83","","1.35%"
"25/06/2021","55.58","54.83","55.58","54.83","","1.37%"
"24/06/2021","54.83","55.60","55.60","54.83","","-1.38%"
"23/06/2021","55.60","58.64","58.64","55.60","","-5.18%"
"22/06/2021","58.64","61.86","61.86","58.64","","-5.21%"
"21/06/2021","61.86","54.91","61.86","54.91","","2.33%"
"18/06/2021","60.45","54.91","60.45","54.91","","10.09%"
"17/06/2021","54.91","54.28","54.91","54.28","","1.16%"
"16/06/2021","54.28","52.92","54.28","52.92","","2.57%"
"15/06/2021","52.92","54.03","54.03","52.92","","-2.05%"
"14/06/2021","54.03","48.26","54.03","48.26","","6.25%"
"11/06/2021","50.85","48.26","50.85","48.26","","5.37%"
"10/06/2021","48.26","52.84","52.84","48.26","","-8.67%"
"09/06/2021","52.84","49.93","52.84","49.93","","5.83%"
"08/06/2021","49.93","49.55","49.93","49.55","","0.77%"
"07/06/2021","49.55","53.96","53.96","49.55","","-0.46%"
"04/06/2021","49.78","53.96","53.96","49.78","","-7.75%"
"03/06/2021","53.96","55.21","55.21","53.96","","-2.26%"
"02/06/2021","55.21","54.99","55.21","54.99","","0.40%"
"01/06/2021","54.99","52.04","54.99","52.04","","5.67%"
"28/05/2021","52.04","53.47","53.47","52.04","","-2.67%"
"27/05/2021","53.47","52.82","53.47","52.82","","1.23%"
"26/05/2021","52.82","53.72","53.72","52.82","","-1.68%"
"25/05/2021","53.72","54.94","54.94","53.72","","-2.22%"
"24/05/2021","54.94","54.59","54.94","54.59","","0.64%"
