"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/2021","134.12","134.06","134.22","134.06","25.88K","0.05%"
"01/09/2021","134.05","134.00","134.23","133.84","80.89K","0.00%"
"31/08/2021","134.05","134.14","134.28","133.97","153.60K","-0.05%"
"30/08/2021","134.12","133.91","134.19","133.86","672.06K","0.17%"
"28/08/2021","133.89","133.89","133.89","133.89","","0.00%"
"27/08/2021","133.89","133.52","133.97","133.42","2.46M","0.22%"
"26/08/2021","133.59","133.61","133.69","133.38","3.10M","-0.02%"
"25/08/2021","133.62","133.94","134.05","133.55","3.16M","-0.27%"
"24/08/2021","133.98","134.20","134.23","133.92","1.88M","-0.18%"
"23/08/2021","134.22","134.14","134.27","133.94","1.23M","0.05%"
"21/08/2021","134.16","134.16","134.16","134.16","","0.03%"
"20/08/2021","134.12","134.30","134.44","134.06","1.10M","-0.16%"
"19/08/2021","134.33","134.22","134.53","134.17","1.41M","0.14%"
"18/08/2021","134.14","134.22","134.31","133.91","1.37M","-0.10%"
"17/08/2021","134.27","134.23","134.61","134.16","1.41M","-0.04%"
"16/08/2021","134.33","134.12","134.56","134.06","1.38M","0.18%"
"14/08/2021","134.09","134.09","134.09","134.09","","0.11%"
"13/08/2021","133.95","133.52","134.09","133.47","967.15K","0.37%"
"12/08/2021","133.45","133.59","133.78","133.41","956.95K","-0.10%"
"11/08/2021","133.58","133.52","133.91","133.30","1.72M","0.02%"
"10/08/2021","133.55","133.70","133.86","133.47","1.28M","-0.17%"
"09/08/2021","133.78","133.91","134.20","133.66","1.18M","-0.13%"
"07/08/2021","133.95","133.95","133.95","133.95","","-0.03%"
"06/08/2021","134.00","134.42","134.47","133.89","1.60M","-0.37%"
"05/08/2021","134.50","134.83","134.91","134.39","1.27M","-0.24%"
"04/08/2021","134.83","134.98","135.44","134.62","1.72M","-0.13%"
"03/08/2021","135.00","134.91","135.19","134.78","1.08M","0.00%"
"02/08/2021","135.00","134.53","135.16","134.45","1.38M","0.41%"
"30/07/2021","134.45","134.19","134.59","134.19","1.75M","0.17%"
"29/07/2021","134.22","134.45","134.50","134.09","1.39M","-0.04%"
"28/07/2021","134.27","134.39","134.56","134.08","1.56M","-0.15%"
"27/07/2021","134.47","134.11","134.56","134.09","1.20M","0.20%"
"26/07/2021","134.20","134.19","134.59","134.06","1.07M","0.04%"
"23/07/2021","134.14","134.12","134.22","133.94","916.47K","-0.08%"
"22/07/2021","134.25","134.05","134.47","133.86","1.45M","0.10%"
"21/07/2021","134.11","134.53","134.83","133.98","1.91M","-0.42%"
"20/07/2021","134.67","134.59","135.22","134.44","2.19M","-0.01%"
"19/07/2021","134.69","133.84","134.80","133.81","2.25M","0.68%"
"16/07/2021","133.78","133.78","133.84","133.45","1.06M","-0.01%"
"15/07/2021","133.80","133.50","133.88","133.44","1.50M","0.26%"
"14/07/2021","133.45","132.97","133.53","132.94","1.47M","0.35%"
"13/07/2021","132.98","133.41","133.56","132.97","2.02M","-0.32%"
"12/07/2021","133.41","133.39","133.64","133.27","1.35M","-0.01%"
"09/07/2021","133.42","133.80","133.81","133.38","1.21M","-0.35%"
"08/07/2021","133.89","133.58","134.09","133.52","1.93M","0.25%"
"07/07/2021","133.55","133.34","133.70","133.20","1.85M","0.25%"
"06/07/2021","133.22","132.75","133.39","132.58","1.95M","0.42%"
"05/07/2021","132.66","132.74","132.79","132.66","","-0.06%"
"04/07/2021","132.74","132.77","132.77","132.71","","0.05%"
"02/07/2021","132.67","132.38","132.80","132.23","1.30M","0.30%"
"01/07/2021","132.27","132.31","132.47","132.19","1.12M","-0.17%"
"30/06/2021","132.50","132.28","132.56","132.19","1.72M","0.17%"
"29/06/2021","132.27","132.25","132.30","132.02","1.04M","0.00%"
"28/06/2021","132.27","131.92","132.33","131.89","966.67K","0.31%"
"25/06/2021","131.86","132.11","132.27","131.77","1.25M","-0.23%"
"24/06/2021","132.17","132.16","132.28","132.03","1.22M","-0.02%"
"23/06/2021","132.19","132.39","132.47","132.11","1.30M","-0.13%"
"22/06/2021","132.36","132.17","132.44","132.02","1.38M","-0.53%"
"21/06/2021","133.06","133.36","133.55","132.61","9.79K","-0.08%"
"18/06/2021","133.16","132.84","133.25","132.69","3.52K","0.19%"
"17/06/2021","132.91","132.56","133.05","132.48","8.41K","0.16%"
"16/06/2021","132.70","133.47","133.55","132.53","5.33K","-0.55%"
"15/06/2021","133.44","133.47","133.59","133.38","3.56K","0.01%"
"14/06/2021","133.42","133.77","133.80","133.38","8.43K","-0.21%"
"11/06/2021","133.70","133.94","134.06","133.66","16.82K","-0.07%"
"10/06/2021","133.80","133.67","133.98","133.25","9.92K","0.12%"
"09/06/2021","133.64","133.30","133.78","133.30","20.35K","0.21%"
"08/06/2021","133.36","133.06","133.45","133.06","11.24K","0.25%"
"07/06/2021","133.03","133.09","133.09","132.95","4.59K","-0.07%"
"04/06/2021","133.12","132.55","133.14","132.50","16.68K","0.45%"
"03/06/2021","132.53","132.86","132.89","132.52","13.06K","-0.25%"
"02/06/2021","132.86","132.72","132.92","132.67","13.75K","0.10%"
"01/06/2021","132.73","132.73","132.81","132.56","47.31K","0.71%"
"31/05/2021","131.80","131.79","131.87","131.70","","0.00%"
"30/05/2021","131.80","131.81","131.84","131.80","","-0.80%"
"28/05/2021","132.86","132.69","132.97","132.56","180.70K","0.13%"
"27/05/2021","132.69","132.84","132.94","132.56","985.34K","-0.17%"
"26/05/2021","132.91","132.98","133.06","132.83","2.85M","-0.05%"
"25/05/2021","132.97","132.62","133.05","132.59","4.05M","0.26%"
"24/05/2021","132.62","132.53","132.69","132.47","2.37M","0.14%"
"21/05/2021","132.44","132.50","132.62","132.38","1.70M","-0.03%"
"20/05/2021","132.48","132.09","132.53","132.03","1.62M","0.34%"
"19/05/2021","132.03","132.39","132.58","131.94","2.04M","-0.27%"
"18/05/2021","132.39","132.25","132.45","132.23","998.22K","0.04%"
"17/05/2021","132.34","132.42","132.67","132.25","1.19M","-0.05%"
"14/05/2021","132.41","132.22","132.53","132.19","1.61M","0.17%"
"13/05/2021","132.19","131.92","132.31","131.84","1.90M","0.20%"
"12/05/2021","131.92","132.45","132.56","131.88","2.49M","-0.40%"
"11/05/2021","132.45","132.61","132.73","132.39","1.57M","-0.12%"
"10/05/2021","132.61","132.70","132.95","132.56","1.41M","-0.11%"
"07/05/2021","132.75","132.58","133.52","132.55","2.83M","0.06%"
"06/05/2021","132.67","132.62","132.75","132.52","1.37M","0.09%"
"05/05/2021","132.55","132.42","132.67","132.17","1.45M","0.10%"
"04/05/2021","132.42","132.33","132.73","132.16","1.99M","0.07%"
"03/05/2021","132.33","132.05","132.50","131.83","1.54M","0.23%"
"30/04/2021","132.03","131.97","132.14","131.81","2.00M","0.04%"
"29/04/2021","131.98","132.17","132.17","131.58","1.63M","-0.08%"
